operator,binding_enery,repressor,channcap_mRNA,channcap_protein
O1,-15.3,0.0,0.0,0.0
O1,-15.3,1.0,-1.6017132519074588e-16,0.27102052286184947
O1,-15.3,2.0,6.406853007629834e-16,0.4676866588337895
O1,-15.3,3.0,3.2034265038149176e-16,0.5785601174337274
O1,-15.3,5.0,0.0,0.694432005306452
O1,-15.3,7.0,0.0,0.7536442064890087
O1,-15.3,11.0,0.0,0.8259169616594909
O1,-15.3,16.0,0.0,0.8808606303913258
O1,-15.3,22.0,3.2034265038149176e-16,0.927520723196912
O1,-15.3,25.0,3.2034265038149176e-16,0.9466571951114178
O1,-15.3,30.0,0.0,0.9734419971503543
O1,-15.3,37.0,0.0,1.004187617350683
O1,-15.3,55.0,3.2034265038149176e-16,1.0594362499826881
O1,-15.3,60.0,-1.6017132519074588e-16,1.0706915014426404
O1,-15.3,62.0,0.0,1.0748817471697292
O1,-15.3,81.0,0.0,1.1063496573015321
O1,-15.3,122.0,0.0,1.141969481663527
O1,-15.3,124.0,0.0,1.1431337099649088
O1,-15.3,130.0,0.0,1.1464977087236123
O1,-15.3,181.0,0.0,1.1674753855639464
O1,-15.3,260.0,0.0,1.1851887540034785
O1,-15.3,271.0,0.0,1.1868311784747636
O1,-15.3,404.0,0.0,1.201268798295946
O1,-15.3,602.0,0.0,1.2126057139131656
O1,-15.3,610.0,-1.6017132519074588e-16,1.2128787080096257
O1,-15.3,870.0,3.2034265038149176e-16,1.2165018373523313
O1,-15.3,899.0,0.0,1.216603735266551
O1,-15.3,1220.0,0.0,1.2154393589353254
O1,-15.3,1341.0,0.0,1.214343786920322
O1,-15.3,1740.0,3.2034265038149176e-16,1.2111972911842925
O1,-15.3,2000.0,0.0,1.2095934407795557
O2,-13.9,0.0,0.0,0.0
O2,-13.9,1.0,0.0,0.04927329655411926
O2,-13.9,2.0,0.0,0.13857459250598117
O2,-13.9,3.0,0.0,0.22626272125772065
O2,-13.9,5.0,0.0,0.3671592823226757
O2,-13.9,7.0,0.0,0.4668286867820562
O2,-13.9,11.0,0.0,0.5918878334728555
O2,-13.9,16.0,0.0,0.6793138427663399
O2,-13.9,22.0,0.0,0.74672830782659
O2,-13.9,25.0,0.0,0.7734888427583483
O2,-13.9,30.0,0.0,0.8104419064573992
O2,-13.9,37.0,0.0,0.850222170381586
O2,-13.9,55.0,0.0,0.9152527904513192
O2,-13.9,60.0,0.0,0.9283320206103275
O2,-13.9,62.0,0.0,0.9332312529230473
O2,-13.9,81.0,0.0,0.9725166631458708
O2,-13.9,122.0,0.0,1.0391599226592574
O2,-13.9,124.0,0.0,1.041836314491075
O2,-13.9,130.0,0.0,1.0494983030610368
O2,-13.9,181.0,3.2034265038149176e-16,1.099020439916586
O2,-13.9,260.0,3.2034265038149176e-16,1.144589019119797
O2,-13.9,271.0,0.0,1.1493245987273784
O2,-13.9,404.0,0.0,1.1930391786613002
O2,-13.9,602.0,0.0,1.2265638279458595
O2,-13.9,610.0,-3.2034265038149186e-16,1.2274926658807774
O2,-13.9,870.0,0.0,1.2487486697436612
O2,-13.9,899.0,0.0,1.2502275614359921
O2,-13.9,1220.0,0.0,1.2613476534131072
O2,-13.9,1341.0,0.0,1.2635954416968143
O2,-13.9,1740.0,0.0,1.2685150662058047
O2,-13.9,2000.0,-1.6017132519074588e-16,1.2716244310961653
O3,-9.7,0.0,0.0,0.0
O3,-9.7,1.0,0.0,9.454248266783565e-06
O3,-9.7,2.0,0.0,3.757239434108532e-05
O3,-9.7,3.0,0.0,8.399191764740239e-05
O3,-9.7,5.0,-1.6017132519074588e-16,0.00023054305132394828
O3,-9.7,7.0,0.0,0.0004652915862090941
O3,-9.7,11.0,3.2034265038149176e-16,0.0016446979514581329
O3,-9.7,16.0,0.0,0.0036985687337588416
O3,-9.7,22.0,-1.6017132519074588e-16,0.006990335084078576
O3,-9.7,25.0,0.0,0.008954096463813612
O3,-9.7,30.0,0.0,0.012659243094253305
O3,-9.7,37.0,3.2034265038149176e-16,0.018676774034964098
O3,-9.7,55.0,0.0,0.038481358174354684
O3,-9.7,60.0,3.2034265038149176e-16,0.04463329108819661
O3,-9.7,62.0,0.0,0.047156589474698855
O3,-9.7,81.0,0.0,0.07253720042545544
O3,-9.7,122.0,0.0,0.13168054187995992
O3,-9.7,124.0,0.0,0.13459614789981952
O3,-9.7,130.0,3.2034265038149176e-16,0.14322919549772226
O3,-9.7,181.0,3.2034265038149176e-16,0.2147407021331768
O3,-9.7,260.0,0.0,0.31109182953138564
O3,-9.7,271.0,0.0,0.3230028566366947
O3,-9.7,404.0,0.0,0.4414743147566222
O3,-9.7,602.0,-1.6017132519074588e-16,0.5560980571025942
O3,-9.7,610.0,-4.805139755722377e-16,0.5596761573775434
O3,-9.7,870.0,0.0,0.648605631733367
O3,-9.7,899.0,0.0,0.6562020382335595
O3,-9.7,1220.0,3.2034265038149176e-16,0.7274818768727571
O3,-9.7,1341.0,3.2034265038149176e-16,0.7493673382888797
O3,-9.7,1740.0,0.0,0.8079052206905418
O3,-9.7,2000.0,0.0,0.8373092189655492
