,Unnamed: 0,date,IPTG_uM,operator,binding_energy,repressor,percentile,fold_change,fold_change_lower,fold_change_upper,noise,noise_lower,noise_upper
0,0,20161203,,O2,-13.9,0,0.01,,,,0.3703618718988337,0.3732877539877448,0.3736087330965656
1,1,20161203,,O2,-13.9,0,0.05,,,,0.3703618718988337,0.3663540066307992,0.36820652725730574
2,2,20161203,,O2,-13.9,0,0.1,,,,0.3703618718988337,0.3663460901777768,0.3702367813031568
3,3,20161203,,O2,-13.9,0,0.25,,,,0.3703618718988337,0.36371518856775853,0.3736233448943408
4,4,20161203,,O2,-13.9,0,0.5,,,,0.3703618718988337,0.35929011283517115,0.3804397385718154
5,5,20161203,,O2,-13.9,0,0.75,,,,0.3703618718988337,0.3513056610203089,0.3872403244665207
6,6,20161203,,O2,-13.9,0,0.9,,,,0.3703618718988337,0.34391109949092463,0.3951732082029786
7,7,20161203,,O2,-13.9,0,0.95,,,,0.3703618718988337,0.3412694515934621,0.4020350000927345
8,8,20161203,,O2,-13.9,0,0.99,,,,0.3703618718988337,0.3309152217825285,0.4120193882309898
9,9,20161203,0.0,O2,-13.9,260,0.01,0.011378775215172285,0.011243433610628606,0.01125526461807873,1.051662444998693,1.058523649078923,1.0598169583734325
10,10,20161203,0.0,O2,-13.9,260,0.05,0.011378775215172285,0.011203200216552515,0.011272315417771876,1.051662444998693,1.05430474670411,1.0616305158150294
11,11,20161203,0.0,O2,-13.9,260,0.1,0.011378775215172285,0.011197534472685988,0.011339811356990435,1.051662444998693,1.0538357291851514,1.0690135431810155
12,12,20161203,0.0,O2,-13.9,260,0.25,0.011378775215172285,0.011130310727841436,0.011489679508413932,1.051662444998693,1.0333906533658042,1.07301529158535
13,13,20161203,0.0,O2,-13.9,260,0.5,0.011378775215172285,0.010987916519246663,0.0117404952754507,1.051662444998693,1.0088614732024832,1.0930699554249428
14,14,20161203,0.0,O2,-13.9,260,0.75,0.011378775215172285,0.010702617028869965,0.01198504804273307,1.051662444998693,0.9789624979575479,1.1223965205485429
15,15,20161203,0.0,O2,-13.9,260,0.9,0.011378775215172285,0.010450202918800135,0.012292968960756566,1.051662444998693,0.9526235514535528,1.1570976681737122
16,16,20161203,0.0,O2,-13.9,260,0.95,0.011378775215172285,0.01026903498523019,0.012467158904171893,1.051662444998693,0.9335423569088606,1.174915196869267
17,17,20161203,0.0,O2,-13.9,260,0.99,0.011378775215172285,0.009968068311513563,0.012875115775237405,1.051662444998693,0.8946038291874259,1.205680196146696
18,18,20161203,0.1,O2,-13.9,260,0.01,0.016031298040161776,0.015831553446533704,0.015847737451547994,0.970682143989594,0.9788805237204647,0.9806104849101802
19,19,20161203,0.1,O2,-13.9,260,0.05,0.016031298040161776,0.015773779008059,0.015864380636693456,0.970682143989594,0.9724632284751096,0.9820140171644971
20,20,20161203,0.1,O2,-13.9,260,0.1,0.016031298040161776,0.01577100808099562,0.015957206265805726,0.970682143989594,0.9707425373514388,0.9907600214602872
21,21,20161203,0.1,O2,-13.9,260,0.25,0.016031298040161776,0.01577100808099562,0.016249634863133886,0.970682143989594,0.9355799241512736,0.9864879177981859
22,22,20161203,0.1,O2,-13.9,260,0.5,0.016031298040161776,0.01551827275993732,0.016542306286864712,0.970682143989594,0.90760027795083,1.0146332844812778
23,23,20161203,0.1,O2,-13.9,260,0.75,0.016031298040161776,0.015128353511883262,0.0168761363273238,0.970682143989594,0.878198403481423,1.0562290593816734
24,24,20161203,0.1,O2,-13.9,260,0.9,0.016031298040161776,0.014814120687136337,0.017298603436976506,0.970682143989594,0.8478828411533148,1.0972718860173556
25,25,20161203,0.1,O2,-13.9,260,0.95,0.016031298040161776,0.014566642761881885,0.01753418140834019,0.970682143989594,0.8294970816491521,1.1218423069954735
26,26,20161203,0.1,O2,-13.9,260,0.99,0.016031298040161776,0.014236098154137325,0.01811564698035245,0.970682143989594,0.8061905019570509,1.178241638146319
27,27,20161203,5.0,O2,-13.9,260,0.01,0.0318440337231649,0.031614646723112226,0.03163697699003201,0.7340241113037556,0.7320037911630419,0.7326551117769647
28,28,20161203,5.0,O2,-13.9,260,0.05,0.0318440337231649,0.031604968617574336,0.03173822744362306,0.7340241113037556,0.7300639901667755,0.733666594879663
29,29,20161203,5.0,O2,-13.9,260,0.1,0.0318440337231649,0.03160128440894986,0.031872821243574316,0.7340241113037556,0.7300457172679699,0.7374762301740918
30,30,20161203,5.0,O2,-13.9,260,0.25,0.0318440337231649,0.03151276787666591,0.032211589585307746,0.7340241113037556,0.7236992906551577,0.7428747532463519
31,31,20161203,5.0,O2,-13.9,260,0.5,0.0318440337231649,0.031047840020145826,0.03254496858583802,0.7340241113037556,0.7140743581387092,0.7546890055805109
32,32,20161203,5.0,O2,-13.9,260,0.75,0.0318440337231649,0.030505984322468743,0.033071154892672795,0.7340241113037556,0.6999104060374838,0.7689571882122429
33,33,20161203,5.0,O2,-13.9,260,0.9,0.0318440337231649,0.030008335605930792,0.03366710059821446,0.7340241113037556,0.6841022217875173,0.7825605925903416
34,34,20161203,5.0,O2,-13.9,260,0.95,0.0318440337231649,0.029761331141507738,0.034106992815179725,0.7340241113037556,0.6780998258632588,0.7950777583765808
35,35,20161203,5.0,O2,-13.9,260,0.99,0.0318440337231649,0.02904231265374577,0.034826627162916735,0.7340241113037556,0.6593636848071485,0.8115666172247775
36,36,20161203,10.0,O2,-13.9,260,0.01,0.06814113610675432,0.06820911273305512,0.06826102177872627,0.672791099587048,0.6809760329589634,0.681657645835963
37,37,20161203,10.0,O2,-13.9,260,0.05,0.06814113610675432,0.06800450851706039,0.06829286822402493,0.672791099587048,0.6707771825533919,0.6745925714499661
38,38,20161203,10.0,O2,-13.9,260,0.1,0.06814113610675432,0.06789169701209398,0.0684922111884225,0.672791099587048,0.6665912367250955,0.6743626475025898
39,39,20161203,10.0,O2,-13.9,260,0.25,0.06814113610675432,0.06730199924186743,0.06888534942268633,0.672791099587048,0.661846077444366,0.6816649033126932
40,40,20161203,10.0,O2,-13.9,260,0.5,0.06814113610675432,0.06636351362886342,0.06972343337304401,0.672791099587048,0.6523044646679134,0.6940400363709356
41,41,20161203,10.0,O2,-13.9,260,0.75,0.06814113610675432,0.06518455664396339,0.07087426721699087,0.672791099587048,0.6380031466121234,0.7095382821677925
42,42,20161203,10.0,O2,-13.9,260,0.9,0.06814113610675432,0.06398751634076245,0.07213511414730665,0.672791099587048,0.6222322171777722,0.7245092249603117
43,43,20161203,10.0,O2,-13.9,260,0.95,0.06814113610675432,0.06336162496940796,0.07308247270932959,0.672791099587048,0.6129225495882081,0.7345890484913858
44,44,20161203,10.0,O2,-13.9,260,0.99,0.06814113610675432,0.0620415207041677,0.0749115327822283,0.672791099587048,0.5913629906929683,0.7514249997575124
45,45,20161203,25.0,O2,-13.9,260,0.01,0.11286556369124832,0.11163404878471148,0.11171969497417826,0.6498034930190535,0.6560424163643703,0.6571380113997186
46,46,20161203,25.0,O2,-13.9,260,0.05,0.11286556369124832,0.1118959459259958,0.11238827526687196,0.6498034930190535,0.6506928808183702,0.6572548134205454
47,47,20161203,25.0,O2,-13.9,260,0.1,0.11286556369124832,0.11194187710124168,0.11293609340454333,0.6498034930190535,0.6433643635556381,0.6570826281513465
48,48,20161203,25.0,O2,-13.9,260,0.25,0.11286556369124832,0.1111818948066729,0.11372238485501725,0.6498034930190535,0.6360885519126134,0.6744429303701518
49,49,20161203,25.0,O2,-13.9,260,0.5,0.11286556369124832,0.11005225814535052,0.1153679216411702,0.6498034930190535,0.575579124552527,0.6705687383796934
50,50,20161203,25.0,O2,-13.9,260,0.75,0.11286556369124832,0.10822656860467053,0.11737699498907965,0.6498034930190535,0.5603273211367239,0.7178703696379962
51,51,20161203,25.0,O2,-13.9,260,0.9,0.11286556369124832,0.10644775151545847,0.11948873720714913,0.6498034930190535,0.5390732842072857,0.7495202121515607
52,52,20161203,25.0,O2,-13.9,260,0.95,0.11286556369124832,0.10532777751796242,0.12076666282896495,0.6498034930190535,0.5390732842072857,0.783884787829808
53,53,20161203,25.0,O2,-13.9,260,0.99,0.11286556369124832,0.10335348203826322,0.12367391372143655,0.6498034930190535,0.5274840289850692,0.8368766667385549
54,54,20161203,50.0,O2,-13.9,260,0.01,0.3250457446212429,0.32780189229756346,0.32803777922518984,0.547667006656442,0.5498628471910532,0.5505859559460722
55,55,20161203,50.0,O2,-13.9,260,0.05,0.3250457446212429,0.3232224262955597,0.32454241345685203,0.547667006656442,0.5415274238621812,0.5456146168534556
56,56,20161203,50.0,O2,-13.9,260,0.1,0.3250457446212429,0.3231647725747505,0.3258239820884976,0.547667006656442,0.542269326697226,0.5505859559460722
57,57,20161203,50.0,O2,-13.9,260,0.25,0.3250457446212429,0.3212251196478257,0.3280426066162217,0.547667006656442,0.5346070528456056,0.5560371848902649
58,58,20161203,50.0,O2,-13.9,260,0.5,0.3250457446212429,0.31746177582304824,0.3317533763676382,0.547667006656442,0.5280179885355702,0.5734309543050446
59,59,20161203,50.0,O2,-13.9,260,0.75,0.3250457446212429,0.3127587911583952,0.33714844487488743,0.547667006656442,0.5070054664099086,0.5843840574042796
60,60,20161203,50.0,O2,-13.9,260,0.9,0.3250457446212429,0.3081423764483205,0.3427888076861945,0.547667006656442,0.4919815781622373,0.6020611049294151
61,61,20161203,50.0,O2,-13.9,260,0.95,0.3250457446212429,0.3054920723756264,0.3468476223001699,0.547667006656442,0.4825581579273379,0.6132619550227517
62,62,20161203,50.0,O2,-13.9,260,0.99,0.3250457446212429,0.2990812028371999,0.3542423498665996,0.547667006656442,0.4648488790192835,0.6316059655960814
63,63,20161203,75.0,O2,-13.9,260,0.01,0.4421753842541767,0.4388419237357068,0.4391152109374351,0.4947310289747605,0.4953990122518413,0.4957736431624599
64,64,20161203,75.0,O2,-13.9,260,0.05,0.4421753842541767,0.4427329026432645,0.4442796984448377,0.4947310289747605,0.4953242828928488,0.4974733414420439
65,65,20161203,75.0,O2,-13.9,260,0.1,0.4421753842541767,0.44186885893350303,0.4450303114760264,0.4947310289747605,0.4925113728247933,0.4969473746923879
66,66,20161203,75.0,O2,-13.9,260,0.25,0.4421753842541767,0.43778066391022014,0.4458560351247365,0.4947310289747605,0.4862425003646379,0.4978162037776879
